BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460641.983778,1.00087,0.00109,1.0547,-0.39,-0.29,13.24,41120
2460641.984277,1.00278,0.00110,1.0555,0.94,0.74,14.69,32690
2460641.984775,1.00011,0.00110,1.0565,0.28,-0.21,13.52,38771
2460641.985285,1.00202,0.00110,1.0574,-0.87,-0.56,13.23,40946
2460641.985784,1.00421,0.00110,1.0583,-0.24,-0.90,12.90,42860
2460641.986282,1.00131,0.00110,1.0592,-0.58,-0.12,13.03,43556
2460641.986781,1.00137,0.00109,1.0602,0.40,0.69,14.37,34685
2460641.987279,1.00351,0.00110,1.0611,0.94,-0.14,12.96,41947
2460641.987778,1.00351,0.00110,1.0621,0.30,-0.37,13.35,41085
2460641.988288,1.00215,0.00110,1.0631,-0.83,-0.98,13.36,39381
2460641.988786,1.00249,0.00110,1.0641,-0.43,-0.07,13.29,40469
2460641.989783,0.99923,0.00110,1.0661,1.25,0.12,13.83,34110
2460641.990281,1.00021,0.00110,1.0671,0.18,0.07,13.45,38218
2460641.990791,1.00023,0.00110,1.0681,-1.25,-1.39,14.32,31813
2460641.991290,1.00096,0.00110,1.0692,-0.48,0.33,13.51,41412
2460641.991788,1.00076,0.00110,1.0702,0.10,0.67,14.58,31567
2460641.992287,1.00082,0.00110,1.0713,1.29,0.29,13.78,34862
2460641.992786,1.00307,0.00110,1.0724,0.46,-0.27,13.32,38382
2460641.993285,0.99940,0.00110,1.0735,-1.61,-0.96,13.89,32099
2460641.993784,1.00205,0.00110,1.0746,0.53,0.73,13.70,37585
2460641.994294,1.00233,0.00110,1.0757,-0.48,0.61,14.28,32462
2460641.994793,0.99989,0.00110,1.0768,1.61,0.52,13.55,40501
2460641.995292,1.00279,0.00110,1.0779,0.07,0.05,13.11,44349
2460641.995791,1.00396,0.00110,1.0791,-0.32,-0.76,12.97,43662
2460641.996290,1.00099,0.00110,1.0802,0.09,0.48,12.98,41477
2460641.996789,1.00455,0.00110,1.0814,0.07,0.35,13.46,40629
2460641.997299,1.00068,0.00110,1.0825,0.95,0.73,13.28,40718
2460641.997798,1.00271,0.00110,1.0837,0.80,0.28,12.96,43837
2460641.998297,1.00161,0.00110,1.0849,-0.59,-0.57,13.26,42224
2460641.998796,1.00159,0.00110,1.0861,0.10,0.07,12.93,43372
2460641.999295,1.00188,0.00110,1.0874,0.74,0.65,13.44,42934
2460641.999793,1.00546,0.00110,1.0886,0.77,-0.05,12.99,42658
2460642.000292,1.00278,0.00110,1.0898,0.87,0.51,12.90,45778
2460642.000803,1.00173,0.00110,1.0911,-1.15,-0.45,13.10,45888
2460642.001302,1.00284,0.00110,1.0924,-0.18,0.21,12.85,47412
2460642.001800,1.00445,0.00110,1.0936,0.19,0.39,13.86,37736
2460642.002299,1.00009,0.00110,1.0949,1.06,0.15,12.85,44690
2460642.002798,1.00153,0.00110,1.0962,0.47,-0.37,12.74,46009
2460642.003297,1.00281,0.00110,1.0975,-0.94,-0.64,12.89,45061
2460642.003807,1.00385,0.00110,1.0989,-0.34,0.21,13.13,44171
2460642.004306,1.00074,0.00110,1.1002,0.77,0.72,13.47,36096
2460642.004805,1.00082,0.00110,1.1016,1.20,0.52,12.87,46073
2460642.005304,1.00074,0.00110,1.1029,0.01,0.21,12.81,47080
2460642.005803,1.00107,0.00110,1.1043,-1.46,-0.30,13.38,40477
2460642.006302,1.00152,0.00111,1.1057,-0.41,0.41,12.72,47811
2460642.006801,1.00195,0.00110,1.1071,1.93,0.38,13.86,34667
2460642.007311,1.00081,0.00110,1.1085,0.83,0.40,13.07,42436
2460642.007810,0.99988,0.00111,1.1099,0.42,0.46,12.85,45014
2460642.008309,1.00052,0.00110,1.1114,-0.79,-0.54,12.77,44074
2460642.008808,1.00115,0.00110,1.1128,-0.46,0.34,12.85,42130
2460642.009306,1.00174,0.00111,1.1143,2.45,0.95,13.37,39093
2460642.009805,1.00268,0.00110,1.1157,0.45,0.58,12.67,49182
2460642.010304,1.00443,0.00111,1.1172,-0.41,-0.12,13.62,40581
2460642.010803,1.00179,0.00111,1.1187,-0.41,-0.52,12.95,43958
2460642.011313,1.00115,0.00110,1.1202,-0.23,0.46,13.00,43414
2460642.011812,1.00381,0.00111,1.1218,2.63,0.35,13.18,41516
2460642.012311,1.00283,0.00111,1.1233,0.55,0.23,12.74,48978
2460642.012810,0.99965,0.00111,1.1248,-0.20,0.61,12.80,46616
2460642.013309,1.00178,0.00111,1.1264,0.04,-0.19,13.30,39188
2460642.013808,1.00000,0.00111,1.1280,-0.66,0.92,13.13,41672
2460642.014306,1.00286,0.00111,1.1296,3.40,0.49,13.68,36589
2460642.014817,1.00008,0.00111,1.1312,0.35,0.05,13.32,34767
2460642.015316,1.00252,0.00111,1.1328,-0.82,-0.10,12.92,42516
2460642.015815,1.00192,0.00111,1.1344,-0.87,0.46,13.28,39242
2460642.016314,1.00091,0.00111,1.1361,-0.12,0.66,13.52,37433
2460642.016812,1.00170,0.00111,1.1377,2.02,0.45,13.71,36583
2460642.017311,1.00346,0.00111,1.1394,0.92,0.61,13.71,34987
2460642.017810,1.00285,0.00111,1.1411,-1.56,-0.38,13.27,37318
2460642.018309,1.00155,0.00112,1.1428,0.28,-0.06,13.75,31978
2460642.018808,1.00133,0.00111,1.1445,0.53,1.06,13.53,33368
2460642.020316,1.00168,0.00112,1.1498,-1.57,-0.54,14.16,30603
2460642.020815,1.00008,0.00111,1.1516,0.08,0.14,14.34,30249
2460642.021314,1.00254,0.00112,1.1533,1.36,0.44,14.77,27821
2460642.021812,1.00106,0.00111,1.1551,2.20,0.22,14.45,30457
2460642.022311,1.00269,0.00111,1.1570,0.77,0.21,13.90,35001
2460642.022822,1.00115,0.00111,1.1588,-1.01,-0.04,13.74,32734
2460642.023819,1.00169,0.00112,1.1625,2.02,0.18,14.68,27050
2460642.024330,0.99819,0.00112,1.1644,0.84,0.27,14.56,27164
2460642.024829,1.00073,0.00111,1.1663,0.78,-0.41,14.36,27569
2460642.025328,1.00077,0.00112,1.1682,-0.24,-0.31,14.53,28005
2460642.025826,1.00137,0.00112,1.1701,-0.37,0.52,14.62,28509
2460642.026325,1.00317,0.00112,1.1721,2.94,0.03,14.28,29573
2460642.026824,1.00095,0.00112,1.1740,0.57,0.26,14.01,32640
2460642.027334,0.99962,0.00112,1.1761,-0.40,-0.49,14.08,33511
2460642.027832,1.00185,0.00112,1.1780,0.20,0.60,13.65,38559
2460642.028342,1.00158,0.00112,1.1800,-0.72,0.66,13.83,35077
2460642.028841,1.00134,0.00112,1.1821,2.83,0.23,13.92,31485
2460642.029339,1.00040,0.00112,1.1841,1.59,0.43,13.06,39415
2460642.029838,1.00203,0.00112,1.1862,-0.64,-0.28,13.56,37569
2460642.030336,1.00009,0.00112,1.1882,-0.40,0.61,13.75,35222
2460642.030846,0.99987,0.00112,1.1903,0.62,0.85,13.98,32231
2460642.031344,1.00043,0.00112,1.1924,2.07,0.46,13.63,35024
2460642.031854,0.99871,0.00112,1.1946,1.17,0.12,13.31,37732
2460642.032353,1.00009,0.00112,1.1967,-1.44,-0.12,13.47,35018
2460642.032851,1.00085,0.00112,1.1989,0.81,0.35,14.11,32404
2460642.033350,0.99954,0.00112,1.2011,0.77,0.99,13.97,32492
2460642.033860,0.99961,0.00112,1.2033,1.63,-0.16,13.42,32085
2460642.034358,1.00138,0.00113,1.2055,0.20,0.22,13.38,35178
